"ID","Date","Site","PlotNum","LabNum","Bray-P ppm"
1,"Submitted: 8/12/09","Bellfountain",3.00,100055.01,6.03
2,"Submitted: 8/12/10","Bellfountain",6.00,100055.02,6.33
3,"Submitted: 8/12/11","Bellfountain",8.00,100055.03,7.52
4,"Submitted: 8/12/12","Bellfountain",10.00,100055.04,7.01
5,"Submitted: 8/12/13","Bellfountain",12.00,100055.05,7.84
6,"Submitted: 8/12/14","Bellfountain",13.00,100055.06,6.37
7,"Submitted: 8/12/15","Bellfountain",15.00,100055.07,6.62
8,"Submitted: 8/12/16","Bellfountain",17.00,100055.08,7.65
9,"Submitted: 8/12/17","Bellfountain",18.00,100055.09,6.89
10,"Submitted: 8/12/18","Bellfountain",20.00,100055.10,5.37
11,"Submitted: 8/12/19","Bellfountain",23.00,100055.11,5.15
12,"Submitted: 8/12/20","Bellfountain",24.00,100055.12,6.24
13,"Submitted: 8/12/21","Bellfountain",26.00,100055.13,7.64
14,"Submitted: 8/12/22","Bellfountain",27.00,100055.14,6.47
15,"Submitted: 8/12/23","Bellfountain",33.00,100055.15,5.99
16,"Submitted: 8/12/24","Bellfountain",34.00,100055.16,5.47
17,"Submitted: 8/12/25","Bellfountain",35.00,100055.17,6.01
18,"Submitted: 8/12/26","Bellfountain",37.00,100055.18,6.65
19,"Submitted: 8/12/27","Bellfountain",40.00,100055.19,5.64
20,"Submitted: 8/12/28","Bellfountain",44.00,100055.20,6.56
21,"Submitted: 8/12/29","Glacial",1.00,100055.21,12.75
22,"Submitted: 8/12/30","Glacial",2.00,100055.22,14.23
23,"Submitted: 8/12/31","Glacial",3.00,100055.23,6.92
24,"Submitted: 8/12/32","Glacial",4.00,100055.24,10.11
25,"Submitted: 8/12/33","Glacial",5.00,100055.25,2.46
26,"Submitted: 8/12/34","Glacial",6.00,100055.26,9.73
27,"Submitted: 8/12/35","Glacial",7.00,100055.27,12.61
28,"Submitted: 8/12/36","Glacial",8.00,100055.28,5.53
29,"Submitted: 8/12/37","Glacial",9.00,100055.29,7.05
30,"Submitted: 8/12/38","Glacial",10.00,100055.30,3.53
31,"Submitted: 8/12/39","Glacial",11.00,100055.31,8.77
32,"Submitted: 8/12/40","Glacial",12.00,100055.32,13.32
33,"Submitted: 8/12/41","Glacial",13.00,100055.33,4.06
34,"Submitted: 8/12/42","Glacial",14.00,100055.34,4.59
35,"Submitted: 8/12/43","Glacial",15.00,100055.35,18.61
36,"Submitted: 8/12/44","Glacial",16.00,100055.36,11.37
37,"Submitted: 8/12/45","Glacial",17.00,100055.37,5.17
38,"Submitted: 8/12/46","Glacial",18.00,100055.38,6.97
39,"Submitted: 8/12/47","Glacial",19.00,100055.39,13.15
40,"Submitted: 8/12/48","Glacial",20.00,100055.40,10.08
41,"Submitted: 8/12/49","Pigeon",2.00,100055.81,4.21
42,"Submitted: 8/12/50","Pigeon",3.00,100055.82,5.26
43,"Submitted: 8/12/51","Pigeon",5.00,100055.83,6.13
44,"Submitted: 8/12/52","Pigeon",6.00,100055.84,8.12
45,"Submitted: 8/12/53","Pigeon",9.00,100055.85,7.94
46,"Submitted: 8/12/54","Pigeon",12.00,100055.86,5.55
47,"Submitted: 8/12/55","Pigeon",17.00,100055.87,7.68
48,"Submitted: 8/12/56","Pigeon",18.00,100055.88,8.86
49,"Submitted: 8/12/57","Pigeon",24.00,100055.89,7.37
50,"Submitted: 8/12/58","Pigeon",26.00,100055.90,7.79
51,"Submitted: 8/12/59","Pigeon",27.00,100055.91,11.65
52,"Submitted: 8/12/60","Pigeon",28.00,100055.92,7.59
53,"Submitted: 8/12/61","Pigeon",32.00,100055.93,6.29
54,"Submitted: 8/12/62","Pigeon",35.00,100055.94,8.57
55,"Submitted: 8/12/63","Pigeon",39.00,100055.95,6.46
56,"Submitted: 8/12/64","Pigeon",42.00,100055.96,5.62
57,"Submitted: 8/12/65","Pigeon",43.00,100055.97,8.08
58,"Submitted: 8/12/66","Pigeon",44.00,100055.98,8.07
59,"Submitted: 8/12/67","Pigeon",45.00,100055.99,15.09
60,"Submitted: 8/12/68","Pigeon",46.00,100055.10,10.97
61,"Submitted: 8/12/69","Scatter",1.00,100055.10,8.73
62,"Submitted: 8/12/70","Scatter",2.00,100055.10,13.05
63,"Submitted: 8/12/71","Scatter",3.00,100055.10,14.69
64,"Submitted: 8/12/72","Scatter",4.00,100055.10,16.76
65,"Submitted: 8/12/73","Scatter",5.00,100055.10,16.53
66,"Submitted: 8/12/74","Scatter",6.00,100055.10,12.44
67,"Submitted: 8/12/75","Scatter",7.00,100055.10,16.05
68,"Submitted: 8/12/76","Scatter",8.00,100055.10,17.07
69,"Submitted: 8/12/77","Scatter",9.00,100055.10,11.28
70,"Submitted: 8/12/78","Scatter",10.00,100055.11,9.89
71,"Submitted: 8/12/79","Scatter",11.00,100055.11,15.72
72,"Submitted: 8/12/80","Scatter",12.00,100055.11,13.92
73,"Submitted: 8/12/81","Scatter",13.00,100055.11,12.16
74,"Submitted: 8/12/82","Scatter",14.00,100055.11,13.64
75,"Submitted: 8/12/83","Scatter",15.00,100055.11,14.55
76,"Submitted: 8/12/84","Scatter",16.00,100055.11,11.92
77,"Submitted: 8/12/85","Scatter",17.00,100055.11,13.67
78,"Submitted: 8/12/86","Scatter",18.00,100055.11,13.59
79,"Submitted: 8/12/87","Scatter",19.00,100055.11,14.17
80,"Submitted: 8/12/88","Scatter",20.00,100055.12,18.25
81,"Submitted: 8/12/89","Mima",1.00,100055.41,23.99
82,"Submitted: 8/12/90","Mima",2.00,100055.42,14.25
83,"Submitted: 8/12/91","Mima",3.00,100055.43,20.39
84,"Submitted: 8/12/92","Mima",4.00,100055.44,20.44
85,"Submitted: 8/12/93","Mima",5.00,100055.45,15.56
86,"Submitted: 8/12/94","Mima",6.00,100055.46,12.92
87,"Submitted: 8/12/95","Mima",7.00,100055.47,19.21
88,"Submitted: 8/12/96","Mima",8.00,100055.48,18.23
89,"Submitted: 8/12/97","Mima",9.00,100055.49,25.68
90,"Submitted: 8/12/98","Mima",10.00,100055.50,12.56
91,"Submitted: 8/12/99","Mima",11.00,100055.51,15.68
92,"Submitted: 8/12/100","Mima",12.00,100055.52,28.42
93,"Submitted: 8/12/101","Mima",13.00,100055.53,17.30
94,"Submitted: 8/12/102","Mima",14.00,100055.54,20.21
95,"Submitted: 8/12/103","Mima",15.00,100055.55,9.94
96,"Submitted: 8/12/104","Mima",16.00,100055.56,10.20
97,"Submitted: 8/12/105","Mima",17.00,100055.57,19.64
98,"Submitted: 8/12/106","Mima",18.00,100055.58,18.39
99,"Submitted: 8/12/107","Mima",19.00,100055.59,21.97
100,"Submitted: 8/12/108","Mima",20.00,100055.60,11.47
101,"Submitted: 8/12/109","Morgan",1.00,100055.61,17.86
102,"Submitted: 8/12/110","Morgan",2.00,100055.62,9.40
103,"Submitted: 8/12/111","Morgan",3.00,100055.63,6.30
104,"Submitted: 8/12/112","Morgan",4.00,100055.64,8.79
105,"Submitted: 8/12/113","Morgan",5.00,100055.65,11.30
106,"Submitted: 8/12/114","Morgan",6.00,100055.66,7.39
107,"Submitted: 8/12/115","Morgan",7.00,100055.67,6.09
108,"Submitted: 8/12/116","Morgan",8.00,100055.68,19.94
109,"Submitted: 8/12/117","Morgan",9.00,100055.69,19.19
110,"Submitted: 8/12/118","Morgan",10.00,100055.70,19.03
111,"Submitted: 8/12/119","Morgan",11.00,100055.71,7.43
112,"Submitted: 8/12/120","Morgan",12.00,100055.72,8.21
113,"Submitted: 8/12/121","Morgan",13.00,100055.73,9.93
114,"Submitted: 8/12/122","Morgan",14.00,100055.74,14.12
115,"Submitted: 8/12/123","Morgan",15.00,100055.75,7.66
116,"Submitted: 8/12/124","Morgan",16.00,100055.76,20.02
117,"Submitted: 8/12/125","Morgan",17.00,100055.77,10.16
118,"Submitted: 8/12/126","Morgan",18.00,100055.78,20.58
119,"Submitted: 8/12/127","Morgan",19.00,100055.79,10.56
120,"Submitted: 8/12/128","Morgan",20.00,100055.80,10.77
121,"Submitted: 8/12/129","Triangle",1.00,100055.12,9.80
122,"Submitted: 8/12/130","Triangle",2.00,100055.12,14.12
123,"Submitted: 8/12/131","Triangle",3.00,100055.12,4.99
124,"Submitted: 8/12/132","Triangle",4.00,100055.12,13.24
125,"Submitted: 8/12/133","Triangle",5.00,100055.12,5.66
126,"Submitted: 8/12/134","Triangle",6.00,100055.12,11.38
127,"Submitted: 8/12/135","Triangle",7.00,100055.12,8.78
128,"Submitted: 8/12/136","Triangle",8.00,100055.12,15.72
129,"Submitted: 8/12/137","Triangle",9.00,100055.12,14.98
130,"Submitted: 8/12/138","Triangle",10.00,100055.13,3.97
131,"Submitted: 8/12/139","Triangle",11.00,100055.13,7.42
132,"Submitted: 8/12/140","Triangle",12.00,100055.13,9.14
133,"Submitted: 8/12/141","Triangle",13.00,100055.13,11.24
134,"Submitted: 8/12/142","Triangle",14.00,100055.13,14.52
135,"Submitted: 8/12/143","Triangle",15.00,100055.13,11.39
136,"Submitted: 8/12/144","Triangle",16.00,100055.13,14.82
137,"Submitted: 8/12/145","Triangle",17.00,100055.13,13.73
138,"Submitted: 8/12/146","Triangle",18.00,100055.13,9.34
139,"Submitted: 8/12/147","Triangle",19.00,100055.13,9.84
140,"Submitted: 8/12/148","Triangle",20.00,100055.14,28.99
141,"Submitted: 8/12/149","Weir",1.00,100055.14,13.49
142,"Submitted: 8/12/150","Weir",2.00,100055.14,12.32
143,"Submitted: 8/12/151","Weir",3.00,100055.14,12.81
144,"Submitted: 8/12/152","Weir",4.00,100055.14,13.64
145,"Submitted: 8/12/153","Weir",5.00,100055.14,10.80
146,"Submitted: 8/12/154","Weir",6.00,100055.14,7.46
147,"Submitted: 8/12/155","Weir",7.00,100055.14,9.33
148,"Submitted: 8/12/156","Weir",8.00,100055.14,14.99
149,"Submitted: 8/12/157","Weir",9.00,100055.14,6.46
150,"Submitted: 8/12/158","Weir",10.00,100055.15,10.80
151,"Submitted: 8/12/159","Weir",11.00,100055.15,13.54
152,"Submitted: 8/12/160","Weir",12.00,100055.15,13.63
153,"Submitted: 8/12/161","Weir",13.00,100055.15,16.34
154,"Submitted: 8/12/162","Weir",14.00,100055.15,15.78
155,"Submitted: 8/12/163","Weir",15.00,100055.15,11.76
156,"Submitted: 8/12/164","Weir",16.00,100055.15,12.26
157,"Submitted: 8/12/165","Weir",17.00,100055.15,12.50
158,"Submitted: 8/12/166","Weir",18.00,100055.15,11.47
159,"Submitted: 8/12/167","Weir",19.00,100055.15,14.75
160,"Submitted: 8/12/168","Weir",20.00,100055.16,5.50
