Site,trt unit,G2011,F2011,M2011,L2011,B2011,D2011,Vole,LD2011,IRTE,Survival,MaxLeafLength
Bellfountain,3,57.75,29.25,18.75,75,0,1,14.5,6.2,2,0.4,13
Bellfountain,6,79.75,6.5,21.75,75,1,17,10.5,4.65,5,1,19.5
Bellfountain,8,58,17.5,12.5,66.25,2.25,15.75,10.75,2.7,,0,
Bellfountain,10,64.25,11.25,5.75,86,1,0,17,4.2,3,0.6,18
Bellfountain,12,70,26,38.75,82.5,0,0,6.25,4.1,5,1,14
Bellfountain,13,18,70.5,8.5,52.5,1,5,6.75,3.05,3,0.6,16.5
Bellfountain,15,9.25,62.25,15.5,30,4.75,18.75,2.75,1.95,4,0.8,12
Bellfountain,17,70.5,16.25,12.5,77.5,0,8.75,11.25,4.05,5,1,19.5
Bellfountain,18,24,39.75,9.25,29,0.75,21.5,6.75,1.85,5,1,15
Bellfountain,20,11.75,68.25,6.75,7.25,6.75,9.25,10,1.15,4,0.8,19
Bellfountain,23,4.5,42.25,9.25,1.25,6.75,40.75,0,0,3,0.6,14
Bellfountain,24,8.25,74,18,14.25,0,16.5,0.75,1.05,5,1,16
Bellfountain,26,90.5,10,7.5,94.5,3,0,1.25,5.6,5,1,18.5
Bellfountain,27,30.5,27.75,16,73.75,0,11,6.25,4,4,0.8,21.5
Bellfountain,33,36,29,15.25,79.5,0,11.5,2.75,6.25,2,0.4,18
Bellfountain,34,55.5,37.5,65,65,0,0,13.25,4.7,3,0.6,12
Bellfountain,35,2.25,88.25,12.75,4.75,1.75,5.75,4,1.25,4,0.8,14
Bellfountain,37,85,13.75,8.25,89,1,0,5,5.25,4,0.8,18
Bellfountain,40,70,16.5,15,80,1.25,8,9,5.8,4,0.8,23
Bellfountain,44,7.5,56,61.25,5.75,4.75,2,1.5,1.1,5,1,24
Ft. Hoskins,2,13.75,32.75,93.25,8.5,0.5,1.75,0,3.15,2,0.4,21.5
Ft. Hoskins,6,30,27.75,1.75,21.75,8,3.5,0,5.3,5,1,25
Ft. Hoskins,9,15.75,53,6.5,33.25,5.5,1.75,0.75,2.95,5,1,20
Ft. Hoskins,11,15.75,87.5,16.5,3.5,0,0,0,0.25,3,0.6,28
Ft. Hoskins,16,22.5,48.25,0,63.75,2.75,0.5,0.75,2.8,4,0.8,25
Ft. Hoskins,20,9.25,87.5,7.75,4.5,8,5,0,1,3,0.6,23
Ft. Hoskins,21,18.75,57,3.25,11.75,15.25,6.5,1.25,1.65,2,0.4,20
Ft. Hoskins,25,40,40.5,1,36.5,8.5,0.75,1,2.7,2,0.4,23
Ft. Hoskins,30,35,64,0,61.25,0.75,0.75,1.75,3.05,5,1,19.5
Ft. Hoskins,32,30.5,46.75,3.5,21.25,4.25,0,5,3.3,2,0.4,27
Ft. Hoskins,33,22,45.75,0.5,17.25,12.5,1.25,5.75,2.5,4,0.8,28
Ft. Hoskins,37,16.75,63,18.25,28.75,1.25,0,3.5,4.3,3,0.6,45
Ft. Hoskins,38,20.5,51.25,5,40,6,2.75,9,3.4,4,0.8,18
Ft. Hoskins,39,16.5,78.75,3,22.5,3,0.75,0,2.3,5,1,22
Ft. Hoskins,40,29.25,61.25,0,27.5,6.75,0,2,3.2,4,0.8,33
Ft. Hoskins,42,73,19.5,14,53.25,4.5,2.5,1.75,3.65,3,0.6,17
Ft. Hoskins,43,43.75,50,0.5,52.5,1,0,0.75,4.35,,0,
Ft. Hoskins,44,21,37.25,49.5,18,2.5,1.5,1,1.8,2,0.4,19
Ft. Hoskins,49,24,58.25,0.5,41.75,4.5,4.25,3.25,2.75,3,0.6,28
Ft. Hoskins,50,59.25,30.5,1.5,43.75,7,2.5,3.5,4.55,2,0.4,25
Pigeon Butte,2,1.5,77.5,1.5,1.5,6.5,17.25,0,0.3,5,1,20
Pigeon Butte,3,8.75,74.75,8.25,5,3,3.75,6.25,1.6,5,1,28
Pigeon Butte,5,4.25,91,4.75,11.75,0,0,0.5,1.85,4,0.8,28.5
Pigeon Butte,6,2.5,67.5,1.75,0.5,4.75,17,5.25,0.5,5,1,30
Pigeon Butte,9,36.25,33,9.25,57.5,2,7,2.75,3.2,5,1,24.5
Pigeon Butte,12,9,81.75,46.75,9.75,2.25,1.5,0,1.3,,0,
Pigeon Butte,17,1.5,70,0.75,3.75,5.25,21.5,7.75,0.55,5,1,28
Pigeon Butte,18,4.25,82.75,3,7,5,11,0.75,1.05,5,1,30
Pigeon Butte,24,6.25,90.5,0,8.25,2.75,0.25,3.25,1.5,5,1,22
Pigeon Butte,26,22.5,68.25,2.25,47,1.25,4.25,,3.183333333,5,1,34
Pigeon Butte,27,4.25,72.25,1.25,7.5,4.75,18.5,5.5,1.05,5,1,30
Pigeon Butte,28,3,83,6,9.5,7.5,8.25,5.25,1.15,5,1,24
Pigeon Butte,32,19.5,70.5,14.75,25.75,1,5.75,3.5,2.15,5,1,36.5
Pigeon Butte,35,6.5,60.5,0.75,23.75,3.25,30.25,4,0.65,5,1,29
Pigeon Butte,39,26.5,85,5.75,15.25,4.5,0,3.75,1.45,5,1,35
Pigeon Butte,42,9.5,75.75,6.25,8,5.5,2.75,14.25,1.65,5,1,27
Pigeon Butte,43,3.5,77.75,1,3.25,6.75,13.75,5.25,0.8,5,1,29
Pigeon Butte,44,35.75,44.75,7,40,1.75,0,7,1.8,5,1,28
Pigeon Butte,45,3.5,55.75,0.5,24.25,5.25,36.25,3.25,0.55,5,1,27.5
Pigeon Butte,46,28.5,46.75,1.25,58.75,3,9.25,5.5,2.75,,0,
