Site,Row,treatment,GrassAV,ForbAV,VegAV,MossAV,BareAV,DisturbedAV,LDAV,2011Litter,2011Vole,totalplants,Plants2010,Plants2011,Max survival
Bellfountain,3,Control,58.125,30.375,88.5,11.5,0.125,0.5,4.45,75,14.5,38,27,25,0.66
Bellfountain,6,SM,57,25.5,82.5,18.75,0.625,11.625,3,75,10.5,65,65,11,0.17
Bellfountain,8,MBG,60.125,27.75,87.875,14,1.875,8.125,2.475,66.25,10.75,68,68,11,0.16
Bellfountain,10,MBG,52.25,31.125,83.375,5.75,2.5,1.125,2.775,86,17,62,59,18,0.29
Bellfountain,12,MM,57.125,40.125,97.25,23,0.5,0,4.025,82.5,6.25,38,33,14,0.37
Bellfountain,13,SM,22.25,67.5,89.75,12.625,0.875,2.625,1.95,52.5,6.75,23,23,8,0.35
Bellfountain,15,SBG,8.25,71.25,79.5,11.75,3.375,12.75,1.325,30,2.75,21,19,2,0.1
Bellfountain,17,Control,64.75,23.25,88,10.375,0.75,6.375,3.175,77.5,11.25,62,58,23,0.37
Bellfountain,18,SM,14.375,51.75,66.125,22,1.375,10.875,1.2,29,6.75,26,26,5,0.19
Bellfountain,20,SBG,7.375,70.5,77.875,11.75,4.375,9.375,0.85,7.25,10,93,90,27,0.29
Bellfountain,23,SBG,2.75,52.25,55,7.75,4.875,36.125,0.475,1.25,0,27,27,3,0.11
Bellfountain,24,SM,8,77.5,85.5,18.125,1.125,8.25,1.125,14.25,0.75,15,15,3,0.2
Bellfountain,26,MBG,70,17.5,87.5,11,1.5,4.375,3.2,94.5,1.25,26,25,7,0.27
Bellfountain,27,Control,39,38.375,77.375,10.25,0.125,5.5,3,73.75,6.25,37,37,9,0.24
Bellfountain,33,MM,44.25,30.875,75.125,21.125,0,5.75,5.65,79.5,2.75,76,62,36,0.47
Bellfountain,34,MM,61.625,33.375,95,36.375,0,0,4.025,65,13.25,31,28,16,0.52
Bellfountain,35,Control,5.875,86.75,92.625,9,0.875,2.875,1.85,4.75,4,86,80,53,0.62
Bellfountain,37,MBG,52,43.5,95.5,6.75,1.375,0,3.4,89,5,22,22,7,0.32
Bellfountain,40,MM,75.125,18.75,93.875,9.125,0.625,4,4.775,80,9,31,27,16,0.52
Bellfountain,44,SBG,4.25,74.25,78.5,37.25,2.75,1,0.95,5.75,1.5,20,15,14,0.7
Ft. Hoskins,2,MM,12.25,37.125,49.375,93,0.625,1.375,2.4,8.5,0,2,2,0,0
Ft. Hoskins,6,SM,30.625,42.5,73.125,5.75,5.875,1.75,3.475,21.75,0,8,8,3,0.38
Ft. Hoskins,9,MBG,29.25,50,79.25,5,3.125,0.875,3.175,33.25,0.75,16,16,4,0.25
Ft. Hoskins,11,Control,11.375,83.875,95.25,17.125,1.5,0.125,1.15,3.5,0,1,1,0,0
Ft. Hoskins,16,SBG,49.375,33.375,82.75,0,1.75,2.75,2.45,63.75,0.75,45,41,10,0.22
Ft. Hoskins,20,SM,5.75,86.75,92.5,15.625,6,3,1,4.5,0,26,26,5,0.19
Ft. Hoskins,21,MBG,22,61.375,83.375,3,9.25,3.25,1.7,11.75,1.25,25,25,,0
Ft. Hoskins,25,MBG,30.875,41.875,72.75,1.5,14.125,6.625,2.1,36.5,1,32,28,11,0.34
Ft. Hoskins,30,SM,32.625,65,97.625,0,1,1.75,2.5375,61.25,1.75,17,16,2,0.12
Ft. Hoskins,32,SBG,26.125,60.25,86.375,2.5,3.625,0,2.9,21.25,5,39,39,0,0
Ft. Hoskins,33,SBG,32.125,50,82.125,0.75,8,0.875,2.325,17.25,5.75,91,91,6,0.07
Ft. Hoskins,37,SM,29.625,57.5,87.125,21.5,1,1.375,3.625,28.75,3.5,39,37,10,0.26
Ft. Hoskins,38,Control,42.75,41.75,84.5,5.875,3.875,1.625,2.75,40,9,42,41,2,0.05
Ft. Hoskins,39,Control,17,77,94,7.125,1.5,0.75,1.9,22.5,0,19,19,1,0.05
Ft. Hoskins,40,MM,33.5,59.625,93.125,0.625,4,0.75,2.35,27.5,2,31,31,1,0.03
Ft. Hoskins,42,MM,41.375,49.375,90.75,21.75,2.25,1.25,2.775,53.25,1.75,96,96,1,0.01
Ft. Hoskins,43,MBG,51.25,48.125,99.375,0.5,1.5,0,4.475,52.5,0.75,76,76,5,0.07
Ft. Hoskins,44,MM,16.875,51.875,68.75,45.75,1.75,0.75,2.3,18,1,69,69,4,0.06
Ft. Hoskins,49,SBG,22.125,63.125,85.25,0.75,5,2.625,2.2,41.75,3.25,55,53,15,0.27
Ft. Hoskins,50,Control,37.375,49.875,87.25,1.5,4.625,4.875,3.25,43.75,3.5,36,36,5,0.14
Pigeon Butte,2,SBG,2.25,74.25,76.5,0.75,15.75,8.625,0.275,1.5,0,33,30,16,0.48
Pigeon Butte,3,SM,10.5,70.875,81.375,5.75,5.375,5.375,2,5,6.25,56,51,25,0.45
Pigeon Butte,5,Control,9,84.875,93.875,2.875,1.125,0,2.55,11.75,0.5,82,75,46,0.56
Pigeon Butte,6,MBG,2.5,70.75,73.25,0.875,4.625,16.5,0.5,0.5,5.25,21,19,12,0.57
Pigeon Butte,9,MM,39.625,42.625,82.25,5,2.625,3.5,3.15,57.5,2.75,43,36,21,0.49
Pigeon Butte,12,Control,4.5,81.75,86.25,46.75,2.25,1.5,1.3,9.75,0,30,28,10,0.33
Pigeon Butte,17,MBG,13,58.375,71.375,0.375,2.875,24,0.775,3.75,7.75,29,29,1,0.03
Pigeon Butte,18,SM,7,78.125,85.125,1.5,3,15.625,1.125,7,0.75,17,17,2,0.12
Pigeon Butte,24,MM,8.25,83.25,91.5,0,5.875,0.125,1.15,8.25,3.25,54,51,30,0.56
Pigeon Butte,26,Control,37.5,50.125,87.625,1.125,1.125,5,3.091666667,47,,39,39,5,0.13
Pigeon Butte,27,SBG,5,63,68,0.625,2.625,29.625,0.8,7.5,5.5,18,18,2,0.11
Pigeon Butte,28,SM,5,79.5,84.5,4.875,5.625,9.5,1,9.5,5.25,37,34,3,0.08
Pigeon Butte,32,MM,14.875,67.375,82.25,8.125,1.375,10,2.225,25.75,3.5,71,67,33,0.46
Pigeon Butte,35,MBG,7.75,64.875,72.625,3.625,8.75,15.125,0.675,23.75,4,26,25,7,0.27
Pigeon Butte,39,SBG,16.5,79.625,96.125,3.75,3.625,4.25,1.6,15.25,3.75,85,79,54,0.64
Pigeon Butte,42,MM,21.125,65.125,86.25,3.125,3.25,7.125,1.975,8,14.25,34,30,17,0.5
Pigeon Butte,43,SBG,3.125,75.875,79,0.5,6.125,14.75,0.9,3.25,5.25,81,80,37,0.46
Pigeon Butte,44,Control,37.75,45.125,82.875,5.375,2.625,3.5,1.875,40,7,69,67,29,0.42
Pigeon Butte,45,MBG,13.5,54.875,68.375,0.25,9.875,21.875,0.825,24.25,3.25,20,15,8,0.4
Pigeon Butte,46,SM,28.125,49.5,77.625,2.375,9.25,5.875,2,58.75,5.5,29,28,2,0.07
